Date,Open,High,Low,Close,MA_21,Stochastic_Oscillator,ATR,Cumulative_Return,Volatility,Price_Gap,Durable_Goods_Orders_Quarterly,Federal_Funds_Rate_Quarterly,Retail_Sales_Quarterly,Unemployment_Rate_Quarterly,cashAndShortTermInvestments,inventory,shortTermInvestments,otherCurrentAssets,totalCurrentLiabilities,currentAccountsPayable,otherCurrentLiabilities,changeInOperatingLiabilities,changeInOperatingAssets,capitalExpenditures,changeInReceivables,changeInInventory,cashflowFromInvestment,surprisePercentage,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,incomeTaxExpense,Quarterly_Return,Hybrid_Price_Movement_Class,Year
2011-09-30,10.27750015258789,12.199999809265137,8.854999542236328,10.81149959564209,10.363776771085602,62.15967883840197,0.2804666023169243,3.977740932155269,0.5046722631109918,0.0084999650716782,209090.0,0.0833333333333333,342415.6666666667,209090.0,6326000000.0,3770000000.0,3503000000.0,312000000.0,8978000000.0,6552000000.0,2426000000.0,957000000.0,662000000.0,529000000.0,75000000.0,587000000.0,100000000.0,0.0,1711000000.0,10859000000.0,9148000000.0,8325000000.0,83000000.0,-0.1994635289576427,1,2011
2011-12-31,10.850500106811523,12.33549976348877,8.34850025177002,8.654999732971191,10.640116420552664,41.51064144276896,0.3124019607665047,3.184326688548319,0.5128356652471515,-0.0024285392155721,216835.3333333333,0.0733333333333333,365831.3333333333,216835.3333333333,9576000000.0,4992000000.0,4307000000.0,351000000.0,14896000000.0,11145000000.0,3751000000.0,5760000000.0,2337000000.0,550000000.0,1077000000.0,1260000000.0,-1469000000.0,100.0,17431000000.0,17431000000.0,14737000000.0,13831000000.0,194000000.0,0.1699017952327301,3,2011
2012-03-31,8.794500350952148,10.49250030517578,8.600000381469727,10.125499725341797,9.177773045687816,62.38319944995256,0.1943121769461212,3.7253495095401736,0.2566224011022137,-0.022629061052876,223205.0,0.1033333333333333,338504.0,223205.0,5715000000.0,4255000000.0,3427000000.0,371000000.0,10488000000.0,6886000000.0,3602000000.0,-4787000000.0,-1493000000.0,386000000.0,-746000000.0,-747000000.0,450000000.0,-85.7143,2000000000.0,13164000000.0,11164000000.0,10027000000.0,43000000.0,0.127598622481906,3,2012
2012-06-30,9.901000022888184,11.69200038909912,9.182499885559082,11.417499542236328,10.396904783184024,53.96800616008162,0.1980528972046173,4.200698975221146,0.4401031627720895,0.0111110778081985,221646.0,0.1533333333333333,359468.6666666667,221646.0,4970000000.0,4380000000.0,2635000000.0,408000000.0,10964000000.0,7072000000.0,3892000000.0,239000000.0,290000000.0,657000000.0,166000000.0,124000000.0,-595000000.0,-50.0,2071000000.0,12813000000.0,10742000000.0,9488000000.0,109000000.0,0.1137289348015004,3,2012
2012-09-30,11.46500015258789,13.205499649047852,10.630499839782717,12.715999603271484,11.679566468421203,68.440676330404,0.176190479001761,4.678439995094801,0.2921398712760219,0.0091190489511644,211398.3333333333,0.1433333333333333,355696.0,211398.3333333333,5248000000.0,5065000000.0,2268000000.0,413000000.0,12605000000.0,8369000000.0,4236000000.0,1319000000.0,1063000000.0,716000000.0,416000000.0,647000000.0,-369000000.0,87.5,2141000000.0,13784000000.0,11643000000.0,10319000000.0,83000000.0,-0.0135655600864336,2,2012
2012-12-31,12.770000457763672,13.155500411987305,10.909000396728516,12.543499946594238,12.211778839246104,49.74166574733031,0.2052258434383552,4.614974336230568,0.3646468228867806,0.0057983552255935,223938.66666666663,0.16,380407.6666666667,223938.66666666663,11448000000.0,6031000000.0,3364000000.0,453000000.0,19002000000.0,13318000000.0,4892000000.0,6337000000.0,1999000000.0,2026000000.0,1025000000.0,974000000.0,-3082000000.0,0.0,17431000000.0,17431000000.0,17476000000.0,16137000000.0,194000000.0,0.0622633348470779,3,2012
2013-03-31,12.803999900817873,14.236000061035156,12.603500366210938,13.32450008392334,13.217229432151433,54.51298458728365,0.2478768643878756,4.902318028637963,0.3212987690781656,0.0307332515716554,220935.66666666663,0.1433333333333333,346774.6666666667,220935.66666666663,7895000000.0,5395000000.0,3414000000.0,507000000.0,14332000000.0,8916000000.0,4764000000.0,-4890000000.0,-1264000000.0,670000000.0,-729000000.0,-535000000.0,-950000000.0,-87.5,2658000000.0,16037000000.0,13379000000.0,11801000000.0,18000000.0,0.0420278031006995,2,2013
2013-06-30,13.348999977111816,14.166999816894531,12.287500381469728,13.884499549865724,13.223035016230174,58.63008950812671,0.2232366374560767,5.108351685482564,0.3010045885585806,-0.0045391023159024,240085.3333333333,0.1166666666666666,373979.6666666667,240085.3333333333,7463000000.0,5420000000.0,3759000000.0,541000000.0,14735000000.0,8990000000.0,5054000000.0,-77000000.0,241000000.0,855000000.0,211000000.0,30000000.0,-1420000000.0,-140.0,2745000000.0,15671000000.0,12926000000.0,11209000000.0,-13000000.0,0.1258598059901696,3,2013
2013-09-30,13.949999809265137,16.028499603271484,13.857999801635742,15.631999969482422,14.639330690815337,61.60210735034526,0.1877008687172618,5.751287837546953,0.3939957620826007,0.0057187825441359,226790.0,0.0833333333333333,372607.6666666667,226790.0,7689000000.0,6068000000.0,3817000000.0,520000000.0,16135000000.0,10037000000.0,5418000000.0,1619000000.0,586000000.0,1038000000.0,-125000000.0,586000000.0,-1063000000.0,0.0,2884000000.0,17056000000.0,14172000000.0,12366000000.0,12000000.0,0.2755566048901432,3,2013
2013-12-31,15.711000442504885,20.2814998626709,14.824999809265137,19.93950080871582,17.31336464839322,72.006406102494,0.2975536680647303,7.336093187807369,0.6021196652871633,0.0547655820846557,240067.66666666663,0.0866666666666666,392985.3333333333,240067.66666666663,12447000000.0,7411000000.0,3789000000.0,-4767000000.0,22980000000.0,15133000000.0,5935000000.0,5947000000.0,1330000000.0,879000000.0,-1239000000.0,1330000000.0,-844000000.0,0.0,25587000000.0,25587000000.0,20486000000.0,18806000000.0,-179000000.0,-0.1565234917291791,1,2013
